gene_id,D20,D21,D22,L7,L8,L9,R13B,R15B,R33,S4,S5,S7
Pastreoides57024,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides51466,0,0,0,38,46,0,8,0,0,0,0,0
Pastreoides22786,0,0,0,57,52,45,0,0,0,25,0,0
Pastreoides51465,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides35826,0,6,17,88,118,59,15,15,15,74,54,76
Pastreoides43325,0,3,0,0,0,0,0,0,0,0,0,0
Pastreoides54308,0,0,0,0,0,0,0,0,0,0,0,3
Pastreoides36937,0,0,0,5,13,0,0,0,0,7,5,0
Pastreoides18569,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides40258,0,17,5,14,12,13,10,2,3,10,12,12
Pastreoides40259,1,8,5,6,8,6,13,3,0,5,5,7
Pastreoides40256,0,121,40,451,574,512,112,57,25,386,208,244
Pastreoides40257,1,3,3,6,4,1,7,1,1,4,1,2
Pastreoides40254,0,47,15,26,61,28,35,10,0,19,4,17
Pastreoides40255,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides40252,0,100,112,380,329,238,94,235,50,149,117,113
Pastreoides40253,0,2,0,8,6,8,7,0,0,0,7,3
Pastreoides40250,0,9,7,5,4,3,0,7,2,4,0,7
Pastreoides40251,0,119,70,1076,1064,1205,200,35,0,1079,686,1005
Pastreoides63521,0,0,8,95,211,25,25,0,0,151,97,102
Pastreoides36279,0,0,0,0,0,0,9,0,0,0,7,0
Pastreoides36278,0,0,20,45,48,0,20,9,0,34,21,54
Pastreoides02633,0,0,0,0,0,0,0,0,0,17,0,0
Pastreoides36275,24,515,739,865,814,959,1323,227,82,1072,691,1724
Pastreoides00919,0,0,19,106,66,107,41,19,6,116,48,159
Pastreoides36277,88,1057,1208,1362,1340,4793,966,367,101,3589,2282,2333
Pastreoides36276,0,97,132,374,311,355,209,47,12,509,277,374
Pastreoides36271,0,0,0,7,22,0,2,0,0,13,14,9
Pastreoides36270,0,0,0,53,45,22,0,0,0,35,26,29
Pastreoides36273,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides41470,0,32,40,282,258,229,23,15,0,238,108,257
Pastreoides53024,0,8,16,0,0,0,12,0,0,0,0,5
Pastreoides13572,0,226,0,0,0,800,0,104,26,0,0,0
Pastreoides13571,0,77,165,413,188,295,217,89,11,290,214,551
Pastreoides09623,3,19,37,23,28,20,23,12,0,16,8,15
Pastreoides13577,6,69,104,280,187,71,85,47,20,135,54,179
Pastreoides13576,0,19,22,276,207,126,37,17,0,151,85,125
Pastreoides13575,0,5,3,8,7,6,8,2,2,9,4,7
Pastreoides13574,31,354,775,3519,1452,2203,820,283,107,1939,1447,2834
Pastreoides02636,0,15,12,93,164,5,53,19,14,51,14,49
Pastreoides13579,0,82,207,1458,1750,1624,512,218,11,1181,759,1198
Pastreoides13578,76,1328,1728,3605,4308,7125,1855,688,228,4529,2870,4504
Pastreoides29921,0,28,41,387,409,325,103,43,0,449,203,299
Pastreoides04233,0,0,0,38,54,49,7,0,0,19,15,33
Pastreoides02637,0,1,1,1,2,2,2,0,0,2,1,3
Pastreoides62432,0,33,8,39,37,14,53,0,0,33,22,73
Pastreoides09626,33,486,590,1919,2308,2706,535,1007,319,2191,1245,1458
Pastreoides02635,0,0,0,0,13,14,9,0,0,7,0,9
Pastreoides06322,0,9,0,1638,798,134,6,0,0,114,62,85
Pastreoides11049,3,14,16,39,55,119,22,7,4,319,222,177
Pastreoides11048,0,114,360,1776,2563,1461,639,119,0,1465,622,1167
Pastreoides08988,737,14992,35039,19218,30519,9934,27500,7353,3932,32706,14102,35964
Pastreoides08989,267,5432,13464,9323,13649,4499,9895,1890,793,13708,6638,15758
Pastreoides08982,0,97,184,789,704,1088,281,151,41,823,488,828
Pastreoides08983,0,6,17,64,64,76,26,6,0,82,51,114
Pastreoides14031,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides08981,0,0,0,0,11,13,3,0,0,0,4,4
Pastreoides14037,0,37,86,1194,1296,1383,81,21,3,1229,637,1248
Pastreoides14036,0,5,15,471,446,370,0,0,0,152,104,126
Pastreoides08984,0,0,32,12,6,33,98,23,8,20,9,40
Pastreoides08985,0,0,0,0,0,0,22,4,0,0,5,0
Pastreoides36932,0,0,12,0,0,10,0,0,0,0,3,10
Pastreoides28310,0,4,3,4,5,4,14,3,2,6,5,6
Pastreoides29483,0,32,39,287,288,202,122,17,0,277,151,324
Pastreoides18094,0,0,10,78,97,31,40,0,0,65,25,50
Pastreoides16899,0,136,348,785,791,1011,501,80,44,871,642,1673
Pastreoides52556,0,0,1,0,1,0,4,2,1,0,0,0
Pastreoides55308,0,42,52,316,249,138,44,35,17,141,86,172
Pastreoides55309,0,0,29,62,74,72,0,13,0,222,122,183
Pastreoides16893,0,0,3,3,0,0,73,9,15,5,7,9
Pastreoides16892,0,0,0,0,1,0,8,0,2,3,2,5
Pastreoides16891,0,6,10,17,33,34,24,0,2,0,0,7
Pastreoides55305,0,6,23,257,514,1006,29,8,10,748,464,583
Pastreoides55302,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides16896,0,82,103,238,224,289,204,52,24,388,197,482
Pastreoides55300,0,321,380,1337,1367,1958,584,163,29,1611,817,1522
Pastreoides55301,18,161,506,1899,1875,2780,863,233,55,2873,1601,3222
Pastreoides58309,0,0,7,14,15,0,0,0,0,0,0,0
Pastreoides58308,14,3,0,3,0,0,0,0,0,0,1,3
Pastreoides64429,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides64428,0,0,0,0,0,4,6,2,0,3,0,4
Pastreoides58305,14,125,162,550,465,766,290,42,26,736,437,729
Pastreoides64426,0,0,0,0,0,0,0,0,0,0,0,0
